DY
189
23
Life expectancy at birth 2019;Expected years of schooling 2019;Mean years of schooling 2019;Gross national income (GNI) per capita 2019;GNI per capita rank minus HDI rank 2019;Refugees by country of origin 1000s 2019;Internally displaced persons 1000s;Homeless people due to natural disaster avergae per million;Orphaned children 1000s 2019;Prison population per 100k 2013-18;Homicide rate per 100k 2013-18;Suicides per 100K Female 2016;Suicides per 100K Male 2016;HIV prevalence adult % 15-49;Healthy life expectancy at birth;Current health expenditure % GDP;Exports and imports % GDP;Foreign direct investment net inflows  % GDP;Net migration rate per 1000;Lost health expectancy;Physicians per 100k;Hospital beds;Pupil–teacher ratio primary school
Slovakia;77.54;14.49;12.69;32113.05;3;1.35;;0;;188.8;1.14;2.6;18.4;0.1;67.61;6.74;185.25;2.19;0.27;12.84;34.16;57;15.54;1
Hungary;76.88;15.2;11.96;31328.81;4;4;;0;;174.6;2.49;6.2;22.2;0.1;66.79;6.88;162.98;3.78;0.62;12.82;34.08;70.1;10.77;1
Saudi Arabia;75.13;16.14;10.23;47495.43;-16;1.77;;29.61;;205.6;1.27;1.7;4.6;;64.48;5.23;62.16;0.58;4.06;13.48;26.12;22.4;13.81;1
Bahrain;77.29;16.25;9.52;42521.7;-12;0.56;;;;233.3;0.52;2.1;7.9;;66.59;4.75;151.4;0.3;31.11;13.56;9.26;17.4;11.92;1
Chile;80.18;16.45;10.58;23261.3;16;0.49;;4263.98;170;245.5;4.4;3.8;16;0.5;69.23;8.98;56.76;2.04;6.02;13.64;25.91;20.6;17.79;1
Croatia;78.49;15.23;11.45;28069.85;6;23.8;;0.45;37;77.4;0.58;5.1;18.8;0.1;68.21;6.79;102.85;1.94;-1.92;13.28;30;55.4;13.51;1
Qatar;80.23;12.04;9.73;92418.23;-43;0.04;;;;46.8;0.37;1.1;7.3;;66.27;2.61;86.55;-1.53;14.69;13.13;24.85;12.5;12.17;1
Argentina;76.67;17.65;10.94;21190.18;16;0.11;;4.26;620;194.1;5.32;3.5;15;0.4;66.79;9.12;32.39;1.39;0.11;12.78;39.9;49.9;17.23;1
Brunei Darussalam;75.86;14.31;9.14;63965.09;-38;0.01;;;;136.1;0.49;2.8;6.2;;65.26;2.37;108.51;2.77;0;12.23;16.09;28.5;9.9;1
Montenegro;76.88;15;11.59;21399.25;13;0.66;;;6.6;179.1;2.23;3.6;12.6;0.1;66.49;;109.45;8.27;-0.77;12.35;27.56;38.6;;1
Romania;76.05;14.26;11.07;29497.23;-1;1.35;;0;220;106.6;1.28;2.4;13.9;0.1;66.36;5.16;84.56;2.76;-3.78;12.13;29.81;68.9;19.33;1
Palau;73.93;15.8;12.49;19316.97;15;0;;6378.53;;422.2;11.17;;;;59.2;11.96;123.3;7.57;;12.29;14.21;;;1
Kazakhstan;73.6;15.61;11.89;22857.46;9;2.77;;46.06;450;201;5.06;7.7;40.1;0.2;63.16;3.13;64.43;1.99;-0.99;12.2;39.8;60.6;17.21;1
Russian Federation;72.58;15.03;12.17;26157.05;2;62.35;1.8;4.37;;386.4;8.21;7.5;48.3;;63.74;5.34;49.07;1.87;1.25;12.64;40.14;71.2;21.26;1
Belarus;74.79;15.4;12.31;18546.49;14;3.43;;0;150;344.4;2.39;6.2;39.3;0.5;65.06;5.93;133.35;2.02;0.92;12.1;51.91;108.3;19.23;1
Turkey;77.69;16.6;8.11;27700.89;-4;83.27;1099;39.73;;321.6;2.59;3.2;11.3;;67.81;4.22;61.39;1.12;3.49;13.5;18.49;28.5;16.98;1
Uruguay;77.91;16.84;8.93;20063.64;9;0.02;;0;;297;12.06;7.1;26.8;0.6;67.45;9.3;41.03;1.34;-0.87;13;50.79;24.3;11.02;1
Bulgaria;75.05;14.41;11.36;23324.66;2;0.57;;15.82;80;94.3;1.3;3.2;13.1;0.1;64.58;8.1;123.72;2.21;-0.68;11.95;40.33;74.5;15.21;1
Panama;78.51;12.91;10.24;29557.67;-10;0.05;;0;;396.5;9.39;1.2;7.6;0.9;69.24;7.32;89.39;9.08;2.7;13.48;15.69;22.5;21.96;1
Bahamas;73.92;12.9;11.44;33747.21;-17;0.5;;0;;460.6;31.96;0.5;2.8;1.8;64.24;5.76;77.35;3.96;2.61;12.44;20.07;29.6;19.45;1
