HDI rank 2020,Country,HDI 2019 ,Life expectancy at birth 2019,Expected years of schooling 2019,Mean years of schooling 2019,Gross national income (GNI) per capita 2019,GNI per capita rank minus HDI rank 2019,HDI rank 2018,label,Refugees by country of origin 1000s 2019,Internally displaced persons 1000s,Homeless people due to natural disaster avergae per million,Orphaned children 1000s 2019,Prison population per 100k 2013-18,Homicide rate per 100k 2013-18,Suicides per 100K Female 2016,Suicides per 100K Male 2016,"HIV prevalence, adult % 15-49",Healthy life expectancy at birth,Current health expenditure % GDP,Exports and imports % GDP,"Foreign direct investment, net inflows  % GDP",Net migration rate per 1000,Lost health expectancy %,Physicians per 100k,Hospital beds,"Pupil–teacher ratio, primary school"
86.00,Saint Lucia,0.76,76.20,14.00,8.51,14615.57,-4.00,86.00,2.00,0.84,..,0.00,..,291.20,21.44,2.10,12.70,..,65.15,4.55,..,1.94,0.00,13.30,6.41,13.00,14.74
88.00,Azerbaijan,0.76,73.01,12.89,10.58,13783.68,3.00,88.00,2.00,11.05,351.00,66.52,120.00,219.70,2.20,1.00,4.30,..,63.01,6.65,86.04,3.13,0.12,11.25,34.46,48.20,15.43
88.00,Dominican Republic,0.76,74.08,14.22,8.12,17591.07,-18.00,89.00,2.00,0.55,..,196.60,240.00,245.40,10.05,3.20,17.90,0.90,64.22,6.14,52.96,3.18,-2.84,12.26,15.60,15.60,18.92
90.00,Moldova (Republic of),0.75,71.90,11.53,11.71,13663.61,2.00,91.00,2.00,2.43,..,0.00,55.00,172.50,4.10,3.80,24.10,0.60,65.15,7.01,85.77,4.96,-0.34,12.35,32.07,56.60,17.92
91.00,Algeria,0.75,76.88,14.60,7.99,11173.96,13.00,91.00,2.00,4.54,2.50,5.82,450.00,149.20,1.36,1.80,4.90,0.10,66.30,6.37,52.04,0.87,-0.24,12.99,17.19,19.00,24.32
92.00,Lebanon,0.74,78.93,11.29,8.72,14654.53,-11.00,90.00,2.00,5.82,7.00,0.00,31.00,92.30,2.49,2.20,4.20,0.10,66.04,8.20,63.61,4.79,-4.49,13.84,21.04,27.30,12.48
93.00,Fiji,0.74,67.44,14.43,10.90,13009.07,1.00,93.00,2.00,0.59,..,0.00,26.00,209.40,2.31,2.50,8.80,..,59.66,3.50,..,5.83,-7.03,12.76,8.60,20.00,28.00
94.00,Dominica,0.74,78.21,12.97,8.14,11883.96,7.00,94.00,2.00,0.05,..,855.58,..,267.60,26.59,..,..,..,63.12,5.88,139.79,2.41,..,12.72,11.19,..,13.08
95.00,Maldives,0.74,78.92,12.20,7.02,17416.78,-24.00,98.00,2.00,0.08,..,0.00,..,373.40,0.72,1.60,3.60,..,69.11,9.03,135.74,10.11,22.84,12.59,45.63,43.00,10.16
95.00,Tunisia,0.74,76.70,15.13,7.22,10414.06,14.00,94.00,2.00,2.07,0.00,0.00,110.00,194.60,..,2.20,4.40,0.10,67.44,7.23,110.54,2.49,-0.35,13.23,13.03,21.80,16.87
97.00,Saint Vincent and the Grenadines,0.74,72.53,14.09,8.78,12377.65,0.00,96.00,2.00,0.98,..,500.00,..,426.40,36.54,0.90,3.90,..,63.64,4.49,85.20,13.56,-1.82,12.76,6.65,43.20,14.39
97.00,Suriname,0.74,71.68,13.19,9.26,14324.38,-13.00,98.00,2.00,0.02,..,..,14.00,192.00,5.43,10.90,36.10,1.40,62.93,6.23,90.96,1.83,-1.75,13.45,12.10,30.00,13.39
99.00,Mongolia,0.74,69.87,14.21,10.25,10838.67,7.00,97.00,2.00,2.37,..,0.00,73.00,151.50,6.18,3.80,23.30,0.10,60.44,4.00,125.76,17.64,-0.27,11.23,28.59,80.00,30.38
100.00,Botswana,0.74,69.59,12.85,9.56,16437.14,-27.00,102.00,2.00,0.23,..,0.00,100.00,197.00,..,5.70,18.30,20.30,54.06,6.13,74.11,1.23,1.34,13.15,5.27,18.00,23.71
101.00,Jamaica,0.73,74.48,13.14,9.73,9319.13,13.00,98.00,2.00,2.54,..,0.00,48.00,132.00,43.85,0.90,3.20,1.90,66.51,5.99,89.03,4.93,-3.87,12.77,13.06,17.20,24.79
